pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.04,94.5
2,하,objective,2.0,0.03,130.5
3,하,objective,3.0,0.06,109.8
4,하,objective,3.0,0.04,133.2
5,하,objective,3.0,0.04,133.5
6,하,objective,3.0,0.06,139.8
7,하,objective,3.0,0.06,138.3
8,중하,objective,3.0,0.11,164.4
9,하,objective,4.0,0.07,156.9
10,하,objective,4.0,0.09,133.8
11,중하,objective,4.0,0.18,183.3
12,하,objective,4.0,0.06,138.6
13,중하,objective,4.0,0.11,171.0
14,중,objective,4.0,0.33,306.3
15,중상,objective,4.0,0.41,362.1
16,하,subjective,3.0,0.05,111.0
17,하,subjective,3.0,0.06,95.7
18,하,subjective,3.0,0.08,100.5
19,중하,subjective,3.0,0.18,124.2
20,중,subjective,4.0,0.3,168.3
21,최상,subjective,4.0,0.87,425.1
22,최상,subjective,4.0,0.86,451.8
23,하,objective,2.0,0.04,155.1
24,중하,objective,3.0,0.17,201.6
25,하,objective,3.0,0.09,156.0
26,중하,objective,3.0,0.15,132.0
27,중하,objective,3.0,0.19,171.0
28,상,objective,4.0,0.61,405.3
29,상,subjective,4.0,0.59,293.7
30,최상,subjective,4.0,0.94,512.7
