pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.04,42.6
2,하,objective,2.0,0.03,57.0
3,하,objective,3.0,0.06,121.5
4,하,objective,3.0,0.04,98.4
5,하,objective,3.0,0.04,117.3
6,하,objective,3.0,0.06,115.5
7,하,objective,3.0,0.06,118.2
8,중하,objective,3.0,0.11,148.5
9,하,objective,4.0,0.07,253.8
10,하,objective,4.0,0.09,237.3
11,중하,objective,4.0,0.18,249.6
12,하,objective,4.0,0.06,239.1
13,중하,objective,4.0,0.11,305.1
14,중,objective,4.0,0.33,286.5
15,중상,objective,4.0,0.41,312.3
16,하,subjective,3.0,0.05,141.6
17,하,subjective,3.0,0.06,135.6
18,하,subjective,3.0,0.08,129.0
19,중하,subjective,3.0,0.18,173.7
20,중,subjective,4.0,0.3,326.4
21,최상,subjective,4.0,0.87,380.7
22,최상,subjective,4.0,0.86,379.2
23,하,objective,2.0,0.04,37.2
24,중하,objective,3.0,0.17,156.9
25,하,objective,3.0,0.09,102.3
26,중하,objective,3.0,0.15,133.5
27,중하,objective,3.0,0.19,130.5
28,상,objective,4.0,0.61,317.4
29,상,subjective,4.0,0.59,384.3
30,최상,subjective,4.0,0.94,369.0
