pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.04,87.0
2,하,objective,2.0,0.03,123.9
3,하,objective,3.0,0.06,132.6
4,하,objective,3.0,0.04,121.5
5,하,objective,3.0,0.04,123.0
6,하,objective,3.0,0.06,95.7
7,하,objective,3.0,0.06,93.0
8,중하,objective,3.0,0.11,148.8
9,하,objective,4.0,0.07,156.6
10,하,objective,4.0,0.09,165.9
11,중하,objective,4.0,0.18,222.0
12,하,objective,4.0,0.06,151.2
13,중하,objective,4.0,0.11,160.8
14,중,objective,4.0,0.33,281.7
15,중상,objective,4.0,0.41,346.8
16,하,subjective,3.0,0.05,76.2
17,하,subjective,3.0,0.06,106.8
18,하,subjective,3.0,0.08,86.1
19,중하,subjective,3.0,0.18,114.3
20,중,subjective,4.0,0.3,228.9
21,최상,subjective,4.0,0.87,481.8
22,최상,subjective,4.0,0.86,460.5
23,하,objective,2.0,0.04,95.4
24,중하,objective,3.0,0.17,169.5
25,하,objective,3.0,0.09,142.5
26,중하,objective,3.0,0.15,180.9
27,중하,objective,3.0,0.19,167.4
28,상,objective,4.0,0.61,421.5
29,상,subjective,4.0,0.59,363.0
30,최상,subjective,4.0,0.94,494.7
