pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.06,105.3
2,하,objective,2.0,0.04,117.9
3,하,objective,3.0,0.08,140.7
4,하,objective,3.0,0.05,112.5
5,하,objective,3.0,0.07,128.1
6,하,objective,3.0,0.08,134.4
7,하,objective,3.0,0.08,131.7
8,중하,objective,3.0,0.12,137.4
9,하,objective,4.0,0.1,138.0
10,중하,objective,4.0,0.11,162.9
11,중,objective,4.0,0.28,249.3
12,하,objective,4.0,0.09,122.4
13,중하,objective,4.0,0.16,206.1
14,중,objective,4.0,0.32,245.1
15,상,objective,4.0,0.56,431.7
16,하,subjective,3.0,0.07,79.5
17,하,subjective,3.0,0.07,81.0
18,하,subjective,3.0,0.1,78.0
19,중,subjective,3.0,0.23,139.2
20,중상,subjective,4.0,0.42,204.9
21,최상,subjective,4.0,0.94,474.6
22,최상,subjective,4.0,0.93,442.8
23,하,objective,2.0,0.05,99.0
24,하,objective,3.0,0.09,137.1
25,하,objective,3.0,0.1,139.8
26,중하,objective,3.0,0.13,147.3
27,중하,objective,3.0,0.2,173.4
28,중상,objective,4.0,0.5,375.3
29,최상,subjective,4.0,0.8,423.6
30,최상,subjective,4.0,0.92,441.0
