pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.06,42.9
2,하,objective,2.0,0.04,42.6
3,하,objective,3.0,0.08,124.2
4,하,objective,3.0,0.05,113.4
5,하,objective,3.0,0.07,110.1
6,하,objective,3.0,0.08,114.9
7,하,objective,3.0,0.08,105.0
8,중하,objective,3.0,0.12,143.1
9,하,objective,4.0,0.1,244.2
10,중하,objective,4.0,0.11,294.6
11,중,objective,4.0,0.28,288.0
12,하,objective,4.0,0.09,258.0
13,중하,objective,4.0,0.16,283.2
14,중,objective,4.0,0.32,280.2
15,상,objective,4.0,0.56,292.5
16,하,subjective,3.0,0.07,137.1
17,하,subjective,3.0,0.07,130.8
18,하,subjective,3.0,0.1,132.3
19,중,subjective,3.0,0.23,206.1
20,중상,subjective,4.0,0.42,369.3
21,최상,subjective,4.0,0.94,361.8
22,최상,subjective,4.0,0.93,361.8
23,하,objective,2.0,0.05,36.3
24,하,objective,3.0,0.09,112.5
25,하,objective,3.0,0.1,99.6
26,중하,objective,3.0,0.13,155.4
27,중하,objective,3.0,0.2,132.9
28,중상,objective,4.0,0.5,279.0
29,최상,subjective,4.0,0.8,376.5
30,최상,subjective,4.0,0.92,371.7
