pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.06,74.7
2,하,objective,2.0,0.04,80.1
3,하,objective,3.0,0.08,99.0
4,하,objective,3.0,0.05,97.2
5,하,objective,3.0,0.07,126.0
6,하,objective,3.0,0.08,125.1
7,하,objective,3.0,0.08,122.4
8,중하,objective,3.0,0.12,134.4
9,하,objective,4.0,0.1,167.7
10,중하,objective,4.0,0.11,178.5
11,중,objective,4.0,0.28,258.3
12,하,objective,4.0,0.09,149.4
13,중하,objective,4.0,0.16,181.2
14,중,objective,4.0,0.32,267.0
15,상,objective,4.0,0.56,428.4
16,하,subjective,3.0,0.07,88.5
17,하,subjective,3.0,0.07,82.8
18,하,subjective,3.0,0.1,85.8
19,중,subjective,3.0,0.23,129.6
20,중상,subjective,4.0,0.42,250.2
21,최상,subjective,4.0,0.94,489.3
22,최상,subjective,4.0,0.93,496.8
23,하,objective,2.0,0.05,85.2
24,하,objective,3.0,0.09,118.8
25,하,objective,3.0,0.1,105.6
26,중하,objective,3.0,0.13,134.1
27,중하,objective,3.0,0.2,161.1
28,중상,objective,4.0,0.5,353.4
29,최상,subjective,4.0,0.8,438.0
30,최상,subjective,4.0,0.92,491.4
