pid,difficulty,type,score,error_rate,avg_time_sec
1,중하,objective,2.0,0.11,89.4
2,하,objective,2.0,0.08,91.5
3,중하,objective,3.0,0.19,119.7
4,하,objective,3.0,0.09,102.3
5,하,objective,3.0,0.09,92.4
6,중하,objective,3.0,0.17,132.6
7,중하,objective,3.0,0.18,124.8
8,중,objective,3.0,0.26,147.6
9,중하,objective,4.0,0.19,215.4
10,중,objective,4.0,0.29,223.2
11,중상,objective,4.0,0.41,275.4
12,중,objective,4.0,0.21,206.1
13,중,objective,4.0,0.34,232.5
14,중상,objective,4.0,0.49,321.6
15,상,objective,4.0,0.62,400.8
16,중하,subjective,3.0,0.13,74.1
17,중하,subjective,3.0,0.14,67.5
18,중,subjective,3.0,0.27,97.2
19,중상,subjective,3.0,0.42,129.3
20,상,subjective,4.0,0.63,277.5
21,최상,subjective,4.0,0.98,405.3
22,최상,subjective,4.0,0.98,441.0
23,하,objective,2.0,0.1,107.4
24,중,objective,3.0,0.26,137.7
25,중하,objective,3.0,0.2,132.0
26,중,objective,3.0,0.27,159.3
27,중,objective,3.0,0.23,177.3
28,상,objective,4.0,0.57,361.8
29,상,subjective,4.0,0.62,244.8
30,최상,subjective,4.0,0.96,412.5
