pid,difficulty,type,score,error_rate,avg_time_sec
1,중하,objective,2.0,0.11,33.3
2,하,objective,2.0,0.08,30.9
3,중하,objective,3.0,0.19,135.9
4,하,objective,3.0,0.09,124.8
5,하,objective,3.0,0.09,135.3
6,중하,objective,3.0,0.17,117.6
7,중하,objective,3.0,0.18,148.8
8,중,objective,3.0,0.26,129.9
9,중하,objective,4.0,0.19,310.2
10,중,objective,4.0,0.29,317.7
11,중상,objective,4.0,0.41,295.2
12,중,objective,4.0,0.21,320.4
13,중,objective,4.0,0.34,314.1
14,중상,objective,4.0,0.49,249.3
15,상,objective,4.0,0.62,184.5
16,중하,subjective,3.0,0.13,155.7
17,중하,subjective,3.0,0.14,153.9
18,중,subjective,3.0,0.27,159.6
19,중상,subjective,3.0,0.42,174.6
20,상,subjective,4.0,0.63,347.4
21,최상,subjective,4.0,0.98,363.3
22,최상,subjective,4.0,0.98,342.3
23,하,objective,2.0,0.1,30.6
24,중,objective,3.0,0.26,111.6
25,중하,objective,3.0,0.2,106.8
26,중,objective,3.0,0.27,149.7
27,중,objective,3.0,0.23,131.1
28,상,objective,4.0,0.57,223.5
29,상,subjective,4.0,0.62,349.2
30,최상,subjective,4.0,0.96,352.8
