pid,difficulty,type,score,error_rate,avg_time_sec
1,중하,objective,2.0,0.11,60.6
2,하,objective,2.0,0.08,62.1
3,중하,objective,3.0,0.19,117.0
4,하,objective,3.0,0.09,93.3
5,하,objective,3.0,0.09,101.4
6,중하,objective,3.0,0.17,122.4
7,중하,objective,3.0,0.18,113.4
8,중,objective,3.0,0.26,129.9
9,중하,objective,4.0,0.19,212.4
10,중,objective,4.0,0.29,239.4
11,중상,objective,4.0,0.41,270.6
12,중,objective,4.0,0.21,186.9
13,중,objective,4.0,0.34,249.3
14,중상,objective,4.0,0.49,311.4
15,상,objective,4.0,0.62,377.4
16,중하,subjective,3.0,0.13,62.4
17,중하,subjective,3.0,0.14,72.0
18,중,subjective,3.0,0.27,106.5
19,중상,subjective,3.0,0.42,150.0
20,상,subjective,4.0,0.63,301.2
21,최상,subjective,4.0,0.98,438.3
22,최상,subjective,4.0,0.98,444.3
23,하,objective,2.0,0.1,70.8
24,중,objective,3.0,0.26,134.7
25,중하,objective,3.0,0.2,132.9
26,중,objective,3.0,0.27,159.3
27,중,objective,3.0,0.23,153.0
28,상,objective,4.0,0.57,363.6
29,상,subjective,4.0,0.62,314.1
30,최상,subjective,4.0,0.96,449.4
