pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.04,122.1
2,하,objective,2.0,0.03,126.9
3,하,objective,3.0,0.06,166.5
4,하,objective,3.0,0.04,140.7
5,하,objective,3.0,0.04,165.3
6,하,objective,3.0,0.06,172.8
7,하,objective,3.0,0.06,151.5
8,중하,objective,3.0,0.11,159.6
9,하,objective,4.0,0.07,166.2
10,하,objective,4.0,0.09,169.2
11,중하,objective,4.0,0.18,217.2
12,하,objective,4.0,0.06,206.1
13,중하,objective,4.0,0.11,200.1
14,중,objective,4.0,0.33,246.0
15,중상,objective,4.0,0.41,295.5
16,하,subjective,3.0,0.05,124.2
17,하,subjective,3.0,0.06,119.1
18,하,subjective,3.0,0.08,119.7
19,중하,subjective,3.0,0.18,150.0
20,중,subjective,4.0,0.3,223.5
21,최상,subjective,4.0,0.87,358.5
22,최상,subjective,4.0,0.86,330.3
23,하,objective,2.0,0.04,144.0
24,중하,objective,3.0,0.17,201.3
25,하,objective,3.0,0.09,171.0
26,중하,objective,3.0,0.15,159.0
27,중하,objective,3.0,0.19,214.5
28,상,objective,4.0,0.61,336.6
29,상,subjective,4.0,0.59,282.3
30,최상,subjective,4.0,0.94,360.3
