pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.04,96.6
2,하,objective,2.0,0.03,100.8
3,하,objective,3.0,0.06,165.6
4,하,objective,3.0,0.04,159.0
5,하,objective,3.0,0.04,163.5
6,하,objective,3.0,0.06,160.8
7,하,objective,3.0,0.06,158.4
8,중하,objective,3.0,0.11,153.0
9,하,objective,4.0,0.07,222.3
10,하,objective,4.0,0.09,220.2
11,중하,objective,4.0,0.18,238.8
12,하,objective,4.0,0.06,235.5
13,중하,objective,4.0,0.11,240.0
14,중,objective,4.0,0.33,252.3
15,중상,objective,4.0,0.41,270.3
16,하,subjective,3.0,0.05,172.2
17,하,subjective,3.0,0.06,155.1
18,하,subjective,3.0,0.08,162.9
19,중하,subjective,3.0,0.18,186.6
20,중,subjective,4.0,0.3,250.5
21,최상,subjective,4.0,0.87,289.8
22,최상,subjective,4.0,0.86,303.9
23,하,objective,2.0,0.04,105.3
24,중하,objective,3.0,0.17,183.9
25,하,objective,3.0,0.09,170.4
26,중하,objective,3.0,0.15,161.7
27,중하,objective,3.0,0.19,164.7
28,상,objective,4.0,0.61,272.7
29,상,subjective,4.0,0.59,279.0
30,최상,subjective,4.0,0.94,304.2
