pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.04,95.4
2,하,objective,2.0,0.03,114.3
3,하,objective,3.0,0.06,154.5
4,하,objective,3.0,0.04,130.5
5,하,objective,3.0,0.04,150.3
6,하,objective,3.0,0.06,155.4
7,하,objective,3.0,0.06,131.4
8,중하,objective,3.0,0.11,154.5
9,하,objective,4.0,0.07,188.1
10,하,objective,4.0,0.09,187.2
11,중하,objective,4.0,0.18,229.5
12,하,objective,4.0,0.06,204.0
13,중하,objective,4.0,0.11,218.1
14,중,objective,4.0,0.33,278.1
15,중상,objective,4.0,0.41,300.9
16,하,subjective,3.0,0.05,126.6
17,하,subjective,3.0,0.06,114.6
18,하,subjective,3.0,0.08,120.3
19,중하,subjective,3.0,0.18,140.4
20,중,subjective,4.0,0.3,212.1
21,최상,subjective,4.0,0.87,364.8
22,최상,subjective,4.0,0.86,370.2
23,하,objective,2.0,0.04,99.9
24,중하,objective,3.0,0.17,192.9
25,하,objective,3.0,0.09,155.1
26,중하,objective,3.0,0.15,160.5
27,중하,objective,3.0,0.19,203.1
28,상,objective,4.0,0.61,357.0
29,상,subjective,4.0,0.59,311.1
30,최상,subjective,4.0,0.94,379.2
