pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.06,113.1
2,하,objective,2.0,0.04,132.9
3,하,objective,3.0,0.08,146.7
4,하,objective,3.0,0.05,137.7
5,하,objective,3.0,0.07,160.5
6,하,objective,3.0,0.08,160.5
7,하,objective,3.0,0.08,150.0
8,중하,objective,3.0,0.12,170.4
9,하,objective,4.0,0.1,188.1
10,중하,objective,4.0,0.11,201.0
11,중,objective,4.0,0.28,243.9
12,하,objective,4.0,0.09,186.0
13,중하,objective,4.0,0.16,222.3
14,중,objective,4.0,0.32,269.4
15,상,objective,4.0,0.56,337.2
16,하,subjective,3.0,0.07,109.2
17,하,subjective,3.0,0.07,107.1
18,하,subjective,3.0,0.1,110.7
19,중,subjective,3.0,0.23,161.4
20,중상,subjective,4.0,0.42,224.1
21,최상,subjective,4.0,0.94,346.2
22,최상,subjective,4.0,0.93,361.8
23,하,objective,2.0,0.05,108.9
24,하,objective,3.0,0.09,133.8
25,하,objective,3.0,0.1,182.7
26,중하,objective,3.0,0.13,175.2
27,중하,objective,3.0,0.2,197.7
28,중상,objective,4.0,0.5,305.7
29,최상,subjective,4.0,0.8,310.2
30,최상,subjective,4.0,0.92,345.6
