pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.06,84.6
2,하,objective,2.0,0.04,107.1
3,하,objective,3.0,0.08,176.4
4,하,objective,3.0,0.05,166.2
5,하,objective,3.0,0.07,164.4
6,하,objective,3.0,0.08,172.2
7,하,objective,3.0,0.08,152.7
8,중하,objective,3.0,0.12,160.5
9,하,objective,4.0,0.1,247.2
10,중하,objective,4.0,0.11,231.6
11,중,objective,4.0,0.28,261.9
12,하,objective,4.0,0.09,222.3
13,중하,objective,4.0,0.16,226.5
14,중,objective,4.0,0.32,248.7
15,상,objective,4.0,0.56,267.9
16,하,subjective,3.0,0.07,147.3
17,하,subjective,3.0,0.07,133.2
18,하,subjective,3.0,0.1,163.2
19,중,subjective,3.0,0.23,175.5
20,중상,subjective,4.0,0.42,257.7
21,최상,subjective,4.0,0.94,304.2
22,최상,subjective,4.0,0.93,298.2
23,하,objective,2.0,0.05,93.9
24,하,objective,3.0,0.09,153.6
25,하,objective,3.0,0.1,159.0
26,중하,objective,3.0,0.13,181.2
27,중하,objective,3.0,0.2,189.6
28,중상,objective,4.0,0.5,274.8
29,최상,subjective,4.0,0.8,295.5
30,최상,subjective,4.0,0.92,282.9
