pid,difficulty,type,score,error_rate,avg_time_sec
1,하,objective,2.0,0.06,110.1
2,하,objective,2.0,0.04,117.3
3,하,objective,3.0,0.08,155.1
4,하,objective,3.0,0.05,144.9
5,하,objective,3.0,0.07,143.4
6,하,objective,3.0,0.08,162.6
7,하,objective,3.0,0.08,143.4
8,중하,objective,3.0,0.12,148.5
9,하,objective,4.0,0.1,201.0
10,중하,objective,4.0,0.11,213.6
11,중,objective,4.0,0.28,260.1
12,하,objective,4.0,0.09,203.4
13,중하,objective,4.0,0.16,225.9
14,중,objective,4.0,0.32,271.2
15,상,objective,4.0,0.56,333.3
16,하,subjective,3.0,0.07,101.7
17,하,subjective,3.0,0.07,124.5
18,하,subjective,3.0,0.1,116.1
19,중,subjective,3.0,0.23,154.8
20,중상,subjective,4.0,0.42,245.7
21,최상,subjective,4.0,0.94,368.4
22,최상,subjective,4.0,0.93,349.8
23,하,objective,2.0,0.05,103.8
24,하,objective,3.0,0.09,128.4
25,하,objective,3.0,0.1,151.2
26,중하,objective,3.0,0.13,169.5
27,중하,objective,3.0,0.2,171.6
28,중상,objective,4.0,0.5,318.9
29,최상,subjective,4.0,0.8,323.1
30,최상,subjective,4.0,0.92,338.7
