pid,difficulty,type,score,error_rate,avg_time_sec
1,중하,objective,2.0,0.11,99.3
2,하,objective,2.0,0.08,99.9
3,중하,objective,3.0,0.19,153.0
4,하,objective,3.0,0.09,136.8
5,하,objective,3.0,0.09,116.7
6,중하,objective,3.0,0.17,159.9
7,중하,objective,3.0,0.18,167.4
8,중,objective,3.0,0.26,156.3
9,중하,objective,4.0,0.19,199.8
10,중,objective,4.0,0.29,230.7
11,중상,objective,4.0,0.41,279.9
12,중,objective,4.0,0.21,216.9
13,중,objective,4.0,0.34,230.4
14,중상,objective,4.0,0.49,282.3
15,상,objective,4.0,0.62,321.0
16,중하,subjective,3.0,0.13,104.1
17,중하,subjective,3.0,0.14,104.4
18,중,subjective,3.0,0.27,138.3
19,중상,subjective,3.0,0.42,158.4
20,상,subjective,4.0,0.63,257.4
21,최상,subjective,4.0,0.98,331.2
22,최상,subjective,4.0,0.98,320.7
23,하,objective,2.0,0.1,102.6
24,중,objective,3.0,0.26,162.9
25,중하,objective,3.0,0.2,167.7
26,중,objective,3.0,0.27,194.1
27,중,objective,3.0,0.23,197.1
28,상,objective,4.0,0.57,324.3
29,상,subjective,4.0,0.62,269.7
30,최상,subjective,4.0,0.96,316.8
