pid,difficulty,type,score,error_rate,avg_time_sec
1,중하,objective,2.0,0.11,82.8
2,하,objective,2.0,0.08,99.3
3,중하,objective,3.0,0.19,173.1
4,하,objective,3.0,0.09,166.5
5,하,objective,3.0,0.09,155.1
6,중하,objective,3.0,0.17,187.2
7,중하,objective,3.0,0.18,164.1
8,중,objective,3.0,0.26,138.3
9,중하,objective,4.0,0.19,256.5
10,중,objective,4.0,0.29,246.3
11,중상,objective,4.0,0.41,249.0
12,중,objective,4.0,0.21,263.4
13,중,objective,4.0,0.34,247.8
14,중상,objective,4.0,0.49,240.0
15,상,objective,4.0,0.62,239.1
16,중하,subjective,3.0,0.13,166.8
17,중하,subjective,3.0,0.14,183.3
18,중,subjective,3.0,0.27,177.9
19,중상,subjective,3.0,0.42,176.1
20,상,subjective,4.0,0.63,268.8
21,최상,subjective,4.0,0.98,264.9
22,최상,subjective,4.0,0.98,281.1
23,하,objective,2.0,0.1,103.2
24,중,objective,3.0,0.26,157.2
25,중하,objective,3.0,0.2,179.1
26,중,objective,3.0,0.27,174.0
27,중,objective,3.0,0.23,175.2
28,상,objective,4.0,0.57,249.6
29,상,subjective,4.0,0.62,264.0
30,최상,subjective,4.0,0.96,270.3
