pid,difficulty,type,score,error_rate,avg_time_sec
1,중하,objective,2.0,0.11,77.7
2,하,objective,2.0,0.08,86.4
3,중하,objective,3.0,0.19,150.6
4,하,objective,3.0,0.09,129.6
5,하,objective,3.0,0.09,137.1
6,중하,objective,3.0,0.17,162.6
7,중하,objective,3.0,0.18,154.5
8,중,objective,3.0,0.26,165.0
9,중하,objective,4.0,0.19,232.8
10,중,objective,4.0,0.29,232.5
11,중상,objective,4.0,0.41,262.8
12,중,objective,4.0,0.21,223.5
13,중,objective,4.0,0.34,262.8
14,중상,objective,4.0,0.49,288.6
15,상,objective,4.0,0.62,307.5
16,중하,subjective,3.0,0.13,110.7
17,중하,subjective,3.0,0.14,103.8
18,중,subjective,3.0,0.27,127.2
19,중상,subjective,3.0,0.42,164.1
20,상,subjective,4.0,0.63,269.1
21,최상,subjective,4.0,0.98,336.0
22,최상,subjective,4.0,0.98,319.8
23,하,objective,2.0,0.1,96.9
24,중,objective,3.0,0.26,174.0
25,중하,objective,3.0,0.2,147.0
26,중,objective,3.0,0.27,167.1
27,중,objective,3.0,0.23,196.8
28,상,objective,4.0,0.57,323.1
29,상,subjective,4.0,0.62,264.3
30,최상,subjective,4.0,0.96,326.1
